Timestamp	IR Status	Ultrasonic Status	Internal Incident Radiation	External Incident Radiation	Temperature	Humidity	Headcount	Brightness Level
02:38:24	1	961.62	49.51	54.32	26.9	77.0	0	52
02:38:26	1	953.28	50.62	59.21	26.1	81.0	0	49
02:38:29	1	943.67	50.67	58.69	26.1	81.0	0	49
02:38:30	1	956.92	50.78	59.05	26.1	81.0	0	48
02:38:33	1	409.05	50.72	59.15	26.2	81.0	0	50
02:38:35	1	414.37	50.86	59.22	26.2	81.0	0	49
02:38:38	1	944.45	50.86	59.08	26.2	81.0	0	48
02:38:41	1	283.81	50.67	59.03	26.2	81.0	0	50
02:38:43	1	368.98	50.86	59.29	26.2	81.0	0	49
02:38:46	1	83.05	50.75	59.04	26.2	81.0	0	50
02:38:49	1	104.96	50.73	59.07	26.2	81.0	0	50
02:38:50	0	98.58	50.8	59.09	26.2	81.0	0	0
02:38:52	1	122.83	50.39	56.31	26.2	81.0	0	51
02:38:54	1	133.67	50.6	58.92	26.2	81.0	0	51
02:38:55	1	947.68	50.7	59.16	26.3	80.0	0	49
02:38:58	1	948.05	50.82	59.16	26.4	80.0	0	48
02:39:01	1	977.0	50.77	59.13	26.4	80.0	0	48
02:39:02	1	956.27	50.69	58.92	26.3	80.0	0	49
02:39:05	1	956.84	50.98	59.32	26.3	80.0	0	48
02:39:08	1	943.47	50.81	58.62	26.4	80.0	0	48
02:39:09	1	964.53	51.15	59.2	26.4	80.0	0	47
02:39:12	1	1677.67	50.77	58.75	26.4	80.0	0	47
02:39:13	1	1672.88	51.06	59.14	26.4	80.0	0	46
02:39:16	1	978.14	50.9	58.92	26.4	80.0	0	48
02:39:18	1	973.56	50.75	59.07	26.4	80.0	0	48
02:39:20	1	960.72	50.89	59.15	26.4	80.0	0	48
02:39:21	1	961.05	50.85	59.14	26.4	80.0	0	48
02:39:22	1	947.92	50.91	58.92	26.4	80.0	0	48
02:41:31	1	956.84	49.17	54.33	26.4	80.0	0	55
02:41:33	1	952.5	50.23	59.85	26.1	81.0	0	50
02:41:35	1	960.97	50.1	59.54	26.1	81.0	0	50
02:41:36	1	956.43	50.13	59.79	26.2	81.0	0	50
02:41:38	1	122.83	49.97	59.74	26.1	81.0	0	54
02:41:40	1	102.51	49.79	59.66	26.2	81.0	0	55
02:41:43	1	81.57	49.93	59.85	26.2	81.0	0	55
02:41:44	1	95.07	49.9	59.95	26.3	81.0	0	55
02:41:45	1	94.94	49.87	59.86	26.2	81.0	0	55
02:41:47	1	111.99	50.01	59.85	26.3	80.0	0	54
02:41:50	1	127.9	50.12	59.73	26.3	80.0	0	54
02:41:51	1	137.96	50.05	59.91	26.3	80.0	0	54
02:41:52	1	960.27	50.28	59.45	26.4	80.0	0	49
02:41:54	1	938.97	50.03	58.41	26.3	80.0	0	51
02:41:57	1	939.75	50.17	59.62	26.4	80.0	0	50
02:42:00	1	964.4	50.1	59.48	26.4	80.0	0	50
02:42:01	1	952.75	50.19	59.49	26.4	80.0	0	50
02:42:02	1	956.47	50.22	59.41	26.4	80.0	0	50
02:42:04	1	953.12	50.22	59.42	26.4	80.0	0	50
02:42:05	1	1681.14	50.19	59.39	26.5	80.0	0	47
02:42:07	1	944.41	50.24	59.11	26.5	80.0	0	50
02:42:09	1	118.37	50.02	59.57	26.5	80.0	0	54
02:42:11	1	214.09	50.12	59.52	26.4	80.0	0	53
02:42:14	0	973.81	49.14	59.61	26.4	80.0	0	0
02:42:16	0	1673.66	48.76	56.62	26.4	80.0	0	0
02:42:18	0	952.55	48.69	56.41	26.4	80.0	0	0
02:42:19	0	944.29	48.72	56.69	26.4	80.0	0	0
02:42:20	0	968.94	48.7	56.63	26.5	80.0	0	0
02:42:22	0	982.03	48.75	56.41	26.5	80.0	0	0
02:42:23	0	951.85	48.62	56.35	26.5	80.0	0	0
02:42:24	0	952.26	48.65	56.64	26.5	80.0	0	0
02:42:26	0	960.72	48.71	56.88	26.5	80.0	0	0
02:42:27	0	960.76	48.67	56.4	26.5	80.0	0	0
02:42:29	0	952.3	48.67	56.71	26.5	80.0	0	0
02:42:30	0	952.63	48.65	56.49	26.5	79.0	0	0
02:42:31	1	956.23	48.91	56.53	26.5	79.0	0	56
02:42:33	1	960.31	49.91	60.03	26.5	79.0	0	51
02:42:35	1	969.27	49.27	59.62	26.5	79.0	0	54
02:42:38	0	947.76	49.04	59.49	26.6	79.0	0	0
02:42:39	0	956.72	48.79	56.56	26.6	79.0	0	0
02:42:41	0	943.67	49.29	56.76	26.6	79.0	0	0
02:42:42	1	952.55	49.79	56.81	26.6	79.0	0	52
02:42:44	1	956.47	50.1	59.65	26.6	79.0	0	50
02:42:46	1	161.02	49.92	59.64	26.6	79.0	0	55
02:42:48	1	47.76	49.63	59.86	26.6	79.0	0	56
02:42:51	1	57.12	49.65	59.93	26.5	79.0	0	56
02:42:53	1	241.28	49.95	59.55	26.6	79.0	0	54
02:42:55	1	2087.33	50.12	59.43	26.6	79.0	0	45
02:42:57	1	947.6	50.09	58.98	26.5	79.0	0	50
02:42:59	1	969.15	50.14	59.61	26.6	79.0	0	50
02:43:00	1	237.65	50.14	59.42	26.5	79.0	0	53
02:43:03	1	233.39	50.23	59.8	26.5	79.0	0	53
02:43:04	1	240.51	50.15	59.88	26.6	79.0	0	53
02:43:05	1	232.25	50.22	59.68	26.6	79.0	0	53
02:43:07	1	231.14	50.1	59.69	26.6	79.0	0	53
02:43:08	1	235.19	50.12	59.59	26.6	79.0	0	53
02:43:09	1	234.95	50.17	59.68	26.6	79.0	0	53
02:43:11	1	230.41	50.09	59.47	26.6	79.0	0	53
02:43:12	1	235.56	50.13	59.57	26.6	79.0	0	53
02:43:13	1	234.74	50.22	59.9	26.5	79.0	0	53
02:43:15	1	952.05	50.15	59.4	26.5	79.0	0	50
02:43:17	1	952.1	50.24	59.64	26.6	79.0	0	50
02:43:18	1	956.8	50.13	59.5	26.7	79.0	0	50
02:43:20	1	961.05	50.19	59.65	26.7	79.0	0	50
02:43:21	1	951.93	50.3	59.38	26.6	79.0	0	49
02:43:24	1	960.6	50.24	59.54	26.7	79.0	0	50
02:43:27	1	948.42	50.16	59.42	26.6	79.0	0	50
02:43:28	1	952.42	50.24	59.43	26.7	79.0	0	50
02:43:29	1	280.5	50.21	59.61	26.6	79.0	0	53
02:43:32	1	270.32	50.11	59.86	26.6	79.0	0	53
02:43:33	1	283.15	50.16	59.94	26.6	79.0	0	53
02:43:34	1	292.64	50.06	59.6	26.7	79.0	0	53
02:43:36	1	315.91	50.12	59.73	26.6	79.0	0	53
02:43:37	1	286.92	50.2	59.36	26.7	79.0	0	53
02:43:38	1	231.23	50.09	59.6	26.7	79.0	0	53
02:43:40	1	162.66	50.05	59.32	26.7	79.0	0	54
02:43:43	1	225.38	50.01	59.78	26.7	79.0	0	54
02:43:44	1	242.8	49.79	59.87	26.7	79.0	0	55
02:43:47	1	353.61	50.15	59.6	26.7	79.0	0	53
02:43:49	1	464.78	50.22	59.3	26.7	79.0	0	52
02:43:52	1	956.59	50.14	59.44	26.6	79.0	0	50
02:43:54	1	326.5	50.23	59.58	26.5	79.0	0	52
02:43:57	1	2087.17	50.15	59.39	26.7	79.0	0	45
02:43:59	1	226.69	50.1	59.03	26.6	79.0	0	53
02:44:01	1	143.15	49.99	59.5	26.6	79.0	0	54
02:44:04	1	137.35	49.98	59.92	26.6	79.0	0	54
02:44:05	1	111.59	49.88	59.56	26.6	79.0	0	55
02:44:08	1	63.17	49.66	59.48	26.5	79.0	0	56
02:44:11	1	62.81	49.53	59.83	26.5	79.0	0	57
02:44:14	1	200.89	50.01	60.06	26.7	79.0	0	54
02:44:16	1	196.02	50.03	59.55	26.5	79.0	0	54
02:44:17	1	187.76	49.94	59.85	26.5	79.0	0	54
02:44:18	1	192.34	50.0	59.58	26.6	79.0	0	54
02:44:20	1	322.0	50.17	59.51	26.6	79.0	0	53
02:44:23	1	327.85	50.1	59.92	26.5	79.0	0	53
02:44:24	1	299.96	50.21	59.88	26.5	79.0	0	52
02:44:27	1	300.53	50.11	59.47	26.6	79.0	0	53
02:44:30	1	413.75	50.16	59.59	26.6	79.0	0	52
02:44:33	1	418.7	50.13	59.38	26.5	79.0	0	52
02:44:34	1	409.75	50.16	59.86	26.6	79.0	0	52
02:44:35	1	390.9	50.14	59.35	26.6	79.0	0	52
02:44:37	1	2108.92	50.14	59.66	26.6	79.0	0	45
02:44:39	1	2100.66	50.13	59.37	26.6	79.0	0	45
02:44:40	1	291.86	50.19	59.36	26.6	79.0	0	53
02:44:42	1	250.32	49.99	59.55	26.7	79.0	0	54
02:44:45	1	943.88	49.63	58.86	26.7	79.0	0	53
02:44:48	1	271.46	49.98	59.78	26.6	79.0	0	54
02:44:51	1	956.63	50.09	59.85	26.6	79.0	0	50
02:44:53	1	944.12	50.01	60.24	26.6	79.0	0	51
02:44:56	1	544.27	50.12	59.52	26.6	79.0	0	52
02:44:58	1	547.26	50.1	59.39	26.5	79.0	0	52
02:45:00	1	547.91	49.99	59.45	26.5	79.0	0	53
02:45:03	1	725.29	49.98	59.4	26.6	79.0	0	52
02:45:06	1	623.23	50.12	59.36	26.6	79.0	0	52
02:45:07	1	629.52	50.14	59.8	26.5	79.0	0	51
02:45:10	1	720.79	50.09	59.41	26.5	79.0	0	51
02:45:11	1	723.45	50.17	59.57	26.5	79.0	0	51
02:45:12	1	674.01	50.05	59.63	26.5	79.0	0	52
02:45:15	1	519.49	50.11	59.43	26.5	79.0	0	52
02:45:17	1	569.09	50.08	59.34	26.5	79.0	0	52
02:45:18	1	741.52	50.08	59.51	26.5	79.0	0	51
02:45:21	1	750.84	50.11	59.39	26.5	79.0	0	51
02:45:22	1	939.67	50.04	59.7	26.6	79.0	0	51
02:45:24	1	828.41	50.1	59.36	26.6	79.0	0	51
02:45:25	1	832.33	50.17	59.4	26.6	79.0	0	50
02:45:28	1	941.14	50.08	59.21	26.6	79.0	0	50
02:45:29	1	944.65	50.19	59.27	26.5	79.0	0	50
02:45:31	1	961.21	50.11	59.25	26.6	79.0	0	50
02:45:32	1	969.92	50.13	59.55	26.5	79.0	0	50
02:45:33	1	948.87	50.05	59.17	26.6	79.0	0	51
02:45:36	1	948.29	49.53	59.42	26.7	79.0	0	53
02:45:38	1	952.5	49.59	59.73	26.6	79.0	0	53
02:45:40	1	952.34	50.15	59.42	26.6	79.0	0	50
02:45:42	1	956.76	50.07	59.37	26.5	79.0	0	50
02:45:43	1	968.82	49.98	59.5	26.6	79.0	0	51
02:45:46	1	1034.36	49.98	59.5	26.6	79.0	0	51
02:45:48	1	732.56	50.18	59.45	26.6	79.0	0	51
02:45:49	1	653.77	50.0	59.57	26.5	79.0	0	52
02:45:52	1	615.34	50.11	59.76	26.6	79.0	0	52
02:45:53	1	951.77	50.03	59.36	26.6	79.0	0	51
02:45:56	1	948.25	50.08	59.23	26.6	79.0	0	50
02:45:59	1	948.54	49.99	59.67	26.5	79.0	0	51
02:46:02	1	948.37	50.07	59.45	26.5	79.0	0	50
02:46:05	1	944.04	50.07	59.46	26.5	79.0	0	50
02:46:06	1	948.13	50.15	59.41	26.5	79.0	0	50
02:46:07	1	973.89	50.12	59.38	26.6	79.0	0	50
02:46:09	1	877.51	50.08	59.43	26.6	79.0	0	51
02:46:12	1	956.23	50.04	59.39	26.6	79.0	0	51
02:46:13	1	948.58	50.09	59.6	26.6	79.0	0	50
02:46:16	1	944.57	50.01	59.26	26.5	79.0	0	51
02:46:19	1	855.03	49.81	59.65	26.7	79.0	0	52
02:46:21	1	1253.36	49.64	59.83	26.6	79.0	0	51
02:46:24	1	1216.93	49.64	59.34	26.6	79.0	0	52
02:46:27	1	956.8	49.71	59.53	26.5	79.0	0	52
02:46:29	1	1683.02	49.69	59.82	26.5	79.0	0	49
02:46:31	1	881.85	49.69	59.6	26.5	79.0	0	53
02:46:33	1	1278.1	49.64	59.59	26.6	79.0	0	51
02:46:35	1	1350.07	49.76	60.04	26.6	79.0	0	50
02:46:38	1	1280.72	49.61	59.51	26.6	79.0	0	51
02:46:41	1	1307.17	49.74	59.62	26.5	79.0	0	51
